Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ocupación;Sexo;Periodo;Total
Total Nacional;;;Total;Total;2022;19.443.155
Total Nacional;;;Total;Total;2021;18.679.652
Total Nacional;;;Total;Hombres;2022;10.337.818
Total Nacional;;;Total;Hombres;2021;9.975.519
Total Nacional;;;Total;Mujeres;2022;9.105.337
Total Nacional;;;Total;Mujeres;2021;8.704.133
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Total;2022;46.552
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Total;2021;51.004
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Hombres;2022;33.082
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Hombres;2021;35.940
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Mujeres;2022;13.470
Total Nacional;;;11 Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos;Mujeres;2021;15.064
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Total;2022;246.529
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Total;2021;230.471
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Hombres;2022;155.271
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Hombres;2021;148.172
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Mujeres;2022;91.258
Total Nacional;;;12 Directores de departamentos administrativos y comerciales;Mujeres;2021;82.299
Total Nacional;;;13 Directores de producción y operaciones;Total;2022;187.780
Total Nacional;;;13 Directores de producción y operaciones;Total;2021;184.118
Total Nacional;;;13 Directores de producción y operaciones;Hombres;2022;137.527
Total Nacional;;;13 Directores de producción y operaciones;Hombres;2021;135.612
Total Nacional;;;13 Directores de producción y operaciones;Mujeres;2022;50.253
Total Nacional;;;13 Directores de producción y operaciones;Mujeres;2021;48.506
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Total;2022;138.972
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Total;2021;139.760
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Hombres;2022;90.887
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Hombres;2021;91.957
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Mujeres;2022;48.085
Total Nacional;;;14 Directores y gerentes de empresas de alojamiento, restauración y comercio;Mujeres;2021;47.803
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Total;2022;108.050
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Total;2021;112.616
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Hombres;2022;65.811
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Hombres;2021;69.132
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Mujeres;2022;42.239
